Data;Ativo Total;Ativo Circulante;Caixa e Equivalentes de Caixa;Aplicacoes Financeiras;Contas a Receber_1;Estoques_1;Ativos Biologicos_1;Tributos a Recuperar;Despesas Antecipadas_1;Outros Ativos Circulantes;Ativo Realizavel a Longo Prazo;Aplicacoes Financeiras Avaliadas a Valor Justo;Aplicacoes Financeiras Avaliadas ao Custo Amortizado;Contas a Receber;Estoques;Ativos Biologicos;Tributos Diferidos_1;Despesas Antecipadas;Creditos com Partes Relacionadas;Outros Ativos Nao Circulantes;Investimentos;Imobilizado;Intangivel;Diferido;Passivo Total;Passivo Circulante;Obrigacoes Sociais e Trabalhistas;Fornecedores;Obrigacoes Fiscais;Emprestimos e Financiamentos_1;Passivos com Partes Relacionadas_1;Dividendos e JCP a Pagar;Outros_1;Provisoes_1;Passivos sobre Ativos Nao-Correntes a Venda e Descontinuados_1;Passivo Nao Circulante;Emprestimos e Financiamentos;Passivos com Partes Relacionadas;Outros;Tributos Diferidos;Adiantamento para Futuro Aumento Capital_1;Provisoes;Passivos sobre Ativos Nao-Correntes a Venda e Descontinuados;Lucros e Receitas a Apropriar;Participacao dos Acionistas Nao Controladores;Patrimonio Liquido;Capital Social Realizado;Reservas de Capital;Reservas de Reavaliacao;Reservas de Lucros;Lucros/Prejuizos Acumulados;Ajustes de Avaliacao Patrimonial;Ajustes Acumulados de Conversao;Outros Resultados Abrangentes;Adiantamento para Futuro Aumento Capital;Receita Liquida de Vendas e/ou Servicos;Custo de Bens e/ou Servicos Vendidos;Resultado Bruto;Despesas Com Vendas;Despesas Gerais e Administrativas;Perdas pela Nao Recuperabilidade de Ativos;Outras Receitas Operacionais;Outras Despesas Operacionais;Resultado da Equivalencia Patrimonial;Financeiras;Receitas Financeiras;Despesas Financeiras;Resultado Antes Tributacao/Participacoes;Provisao para IR e Contribuicao Social;IR Diferido;Lucro/Prejuizo do Periodo;Adj Close;IBOV;Empresa
31/12/2012;1346301.06;71641.00;48155.00;0.00;21490.00;0.00;0.00;1996.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1274659.97;0.00;0.00;0;1346301.06;30259.00;30259.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;338835.01;0.00;0.00;0.00;338835.01;0;0.00;0.00;0.00;0.00;977206.98;249060.99;0.00;0;51648.00;0.00;0.00;0.00;676497.98;0;10617.00;0.00;10617.00;0.00;-2337.00;0.00;0.00;-159.00;0.00;1875.00;1875.00;0.00;9996.00;-158.00;-70.00;9768.00;11.35;60952.00;ABEV3
31/12/2012;3770028.03;2496890.11;683270.02;0.00;1310155.01;454011.01;0.00;47598.00;1856.00;0.00;170706.00;0.00;0.00;2042.00;0.00;0.00;133187.00;0.00;0.00;35477.00;63.00;846204.03;256164.99;0;3770028.03;1725212.03;103317.00;456484.00;244088.99;670248.00;0.00;71402.00;160913.01;18759.00;0.00;739132.99;645158.98;0.00;18080.00;0.00;0;75894.00;0.00;0.00;0.00;1305682.94;461595.01;207768.00;0;637060.99;0.00;-741.00;0.00;0.00;0;1292720.00;-551537.02;741182.85;-277502.98;-86652.01;-43438.00;29111.00;-117470.99;0.00;-25038.00;8660.00;-33698.00;220192.00;-86724.01;14207.00;147674.99;10.75;60952.00;LREN3
31/12/2012;41163575.30;12692327.42;3287621.89;172146.00;3322451.97;4102054.91;0.00;1476210.94;54013.00;277828.00;4227764.99;34489.00;0.00;37742.00;0.00;0.00;2055620.99;0.00;127627.00;1972285.95;125735.00;21176784.90;2940965.89;0;41163575.30;12656626.69;349176.00;8897597.44;342788.99;1836028.03;0.00;5369.00;1063634.01;52264.00;109770.00;19843151.87;15675610.11;0.00;1666000.00;2138621.95;0;362919.01;0.00;0.00;87813.00;8575986.81;8043222.02;749086.98;0;0.00;-565548.99;0.00;0.00;349227.01;0;8688930.82;-7834832.38;854100.10;-256748.02;-212284.00;0.00;-291326.02;333767.01;8215.00;-594849.92;164951.02;-759801.09;-159126.02;8492.00;115523.98;280321.02;7.25;60952.00;BRKM5
31/12/2012;25589454.85;10234651.65;919907.97;2258286.08;1793314.94;2703731.97;943832.00;1240456.96;0.00;375121.98;3261149.95;886.00;0.00;0.00;0.00;0.00;1851746.94;0.00;0.00;1408516.99;11107.00;8010619.90;4071924.99;0;25589454.85;7687320.06;506968.99;2580227.07;187503.01;3741779.97;0.00;0.00;670841.02;0.00;0.00;13597041.66;8786466.82;0.00;3098025.98;1474659.97;0;237888.99;0.00;0.00;148854.00;4156238.10;4818467.84;184800.00;0;33604.00;-1395005.06;-168804.99;683176.00;0.00;0;6487526.91;-5547560.45;939967.04;-515388.00;-177577.01;0.00;-68757.00;5190.00;448.00;-597355.14;152036.99;-749391.87;-413472.00;-29777.00;160190.02;-284244.00;5.61;60952.00;MRFG3
31/12/2012;11108742.14;6912961.02;1522861.95;0.00;3102654.98;1965549.95;0.00;120181.00;0.00;201712.99;3652672.00;0.00;0.00;2113282.05;1356935.94;0.00;1347.00;0.00;61760.00;119347.00;402991.01;95466.00;44652.00;0;11108742.14;3645905.92;101021.00;251892.99;64336.00;1004188.99;0.00;0.00;2203533.06;20934.00;0.00;3374863.10;2678644.99;0.00;426711.01;84984.00;0;184523.01;0.00;0.00;286340.00;3801633.12;2650615.04;26202.00;0;1124816.00;0.00;0.00;0.00;0.00;0;1022824.96;-745841.02;276983.94;-69122.00;-65919.01;0.00;-73024.00;56628.00;0.00;-13380.00;30350.00;-43729.99;112166.96;-14921.00;30801.00;115263.02;6.47;60952.00;MRVE3
31/12/2012;5684511.74;851337.98;392856.99;2144.00;219592.00;166084.00;0.00;28623.00;0.00;42038.00;440203.01;0.00;0.00;61473.00;333175.01;0.00;0.00;0.00;0.00;45555.00;4035067.90;17366.00;340536.99;0;5684511.74;549427.97;0.00;185324.99;19126.00;114353.00;0.00;106997.00;123627.00;0.00;0.00;1929744.00;1685281.02;0.00;142528.99;101934.00;0;0.00;0.00;0.00;131.00;3205208.90;1740646.02;837867.01;0;626696.00;0.00;0.00;0.00;0.00;0;241385.04;-46523.01;194861.97;0.00;-36066.01;0.00;1364.00;-12803.00;1951.00;-20104.00;9604.00;-29708.00;129204.01;7608.00;-8340.00;128449.01;16.30;60952.00;MULT3
31/12/2012;30772248.58;11589980.16;1930692.99;621907.97;3208619.01;3018575.87;1370999.04;964769.02;0.00;474416.00;3723248.90;0.00;74458.00;163431.01;0.00;428190.02;724942.02;0.00;0.00;2332228.10;36658.00;10670699.52;4751661.06;0;30772248.58;7464218.11;134968.00;3381245.95;227995.01;2440782.08;0.00;160020.00;654018.02;465188.99;0.00;8731990.02;7077538.82;0.00;561900.03;27792.00;0;1064758.98;0.00;0.00;37512.00;14538527.94;12460471.30;17990.00;0;2261079.04;0.00;0.00;0.00;-201012.00;0;8145647.62;-6050381.82;2095265.79;-1201367.81;-113589.98;0.00;43386.00;-222938.02;7446.00;-90951.99;220220.99;-311173.02;517250.02;78233.00;-27647.00;562769.02;39.33;60952.00;BRFS3
31/12/2012;35396231.17;17250684.93;7086251.01;0.00;3430439.94;5759647.74;0.00;871020.99;66792.00;36532.00;4693066.75;0.00;0.00;664896.00;172280.00;0.00;1078841.98;61892.00;172164.00;2542992.90;362428.99;8114498.05;4975556.10;0;35396231.17;13955392.51;728969.98;6803239.94;650761.02;4211150.08;81641.00;168798.00;1286282.96;24550.00;0.00;10372889.60;6281103.87;0.00;1708384.00;1137376.00;0;774361.02;0.00;471664.99;2573225.98;8494725.12;6710034.94;228459.01;0;1556231.04;0.00;0.00;0.00;0.00;0;14584424.45;-10498130.94;4086296.83;-2055872.90;-530588.93;0.00;-6427.00;-376840.03;-1044.00;-300459.94;133971.98;-434432.00;815063.94;-166200.02;-109832.00;441316.00;64.63;60952.00;PCAR3
31/12/2012;677716295.68;118101811.20;27628003.33;21315725.31;22680508.42;29735948.29;0.00;11386585.09;1692487.94;3662553.09;47215185.92;69747.00;289284.00;5230501.89;91847.00;0.00;21965811.71;2663419.90;3844950.02;13059622.91;12476892.16;418715664.38;81206755.33;0;677716295.68;69620580.35;4420578.82;23735508.99;12521621.50;15319804.93;1039305.02;6153527.81;4820607.49;1609627.01;0.00;262662045.70;180993540.10;181350.00;1395259.01;39261601.79;0;40830296.06;0.00;0.00;2353979.90;343079689.73;205392150.53;630288.00;0;134928834.56;0.00;50510.00;2077908.99;0.00;0;73405259.78;-56843436.03;16561812.48;-2369304.06;-2605640.45;0.00;0.00;-5848752.13;182231.98;2788819.97;3292281.09;-503461.12;8709167.10;-266358.02;-675821.06;7747591.17;7.04;60952.00;PETR4
31/12/2012;4256467.97;982929.98;37608.00;870649.98;3377.00;0.00;0.00;57706.00;2011.00;11578.00;156264.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;156264.99;0.00;393862.02;2723410.94;0;4256467.97;164006.00;20801.00;101487.00;35559.00;1974.00;0.00;0.00;4185.00;0.00;0.00;433084.99;1260.00;0.00;0.00;431824.99;0;0.00;0.00;0.00;0.00;3659376.90;3817129.98;416913.98;0;0.00;-736606.02;161939.01;0.00;0.00;0;2898.00;-575.00;2323.00;0.00;-125844.98;-44115.00;190598.00;415.00;0.00;12806.00;18277.00;-5471.00;36181.98;44974.00;-16207.00;-140048.03;4.73;60952.00;PRIO3
